OGLE-LMC-CEP-0001,1,30:57.7,-69:03:37.4,17.755,18.154,0.399,0.3068181
OGLE-LMC-CEP-0002,F,31:47.0,-69:49:09.5,15.691,16.42,0.729,3.118149
OGLE-LMC-CEP-0003,1,35:05.7,-70:25:26.9,17.846,18.384,0.538,0.3500957
OGLE-LMC-CEP-0004,1,35:20.2,-69:48:07.7,15.123,15.69,0.567,2.2296385
OGLE-LMC-CEP-0005,F,35:31.5,-69:44:05.8,14.651,15.425,0.774,5.6119491
OGLE-LMC-CEP-0006,1,35:42.2,-69:43:29.1,14.707,15.366,0.659,3.2947501
OGLE-LMC-CEP-0007,1,36:30.1,-68:37:35.7,16.955,17.561,0.606,0.7090827
OGLE-LMC-CEP-0009,1,36:52.1,-68:03:51.3,15.433,16.13,0.697,2.0243667
OGLE-LMC-CEP-0010,1,36:56.5,-68:14:27.0,14.99,15.572,0.582,2.5655853
OGLE-LMC-CEP-0012,F,37:48.7,-67:12:51.9,15.474,16.075,0.601,2.6601839
OGLE-LMC-CEP-0013,1,37:51.0,-69:17:18.6,15.564,16.13,0.566,1.5985688
OGLE-LMC-CEP-0014,1,38:18.9,-69:53:16.5,14.761,15.392,0.631,3.1356338
OGLE-LMC-CEP-0015,1,38:32.3,-69:21:09.6,15.514,16.102,0.588,1.6556995
OGLE-LMC-CEP-0017,F,38:56.8,-69:41:18.3,15.237,15.899,0.662,3.6772904
OGLE-LMC-CEP-0018,F,38:59.0,-68:57:24.8,15.181,15.994,0.813,4.0478369
OGLE-LMC-CEP-0019,1,39:03.3,-68:18:35.2,15.637,16.318,0.681,1.9290799
OGLE-LMC-CEP-0020,1,39:30.5,-69:13:49.2,14.729,15.338,0.609,3.0111731
OGLE-LMC-CEP-0021,F,39:31.0,-69:15:42.6,14.709,15.494,0.785,5.4579579
OGLE-LMC-CEP-0022,1,39:52.9,-69:49:55.0,14.527,15.174,0.647,3.4769471
OGLE-LMC-CEP-0023,F,40:47.5,-68:59:08.4,16.315,17.081,0.766,1.7018187
OGLE-LMC-CEP-0025,F,40:54.4,-69:06:54.3,15.338,16.131,0.793,3.7334902
OGLE-LMC-CEP-0026,F,41:12.2,-68:47:59.1,15.497,16.094,0.597,2.5706724
OGLE-LMC-CEP-0027,F,41:19.5,-67:20:08.1,15.037,15.641,0.604,3.5229124
OGLE-LMC-CEP-0028,F,41:26.9,-69:37:54.3,16.617,17.258,0.641,1.2629537
OGLE-LMC-CEP-0029,1,41:35.4,-70:02:42.3,15.424,16.062,0.638,1.9936733
OGLE-LMC-CEP-0030,1,41:39.6,-70:05:49.0,17.034,17.64,0.606,0.6035484
OGLE-LMC-CEP-0031,1,41:44.9,-69:06:55.5,14.45,15.154,0.704,4.3396944
OGLE-LMC-CEP-0033,F,41:57.9,-69:26:00.8,14.386,15.216,0.83,7.1807603
OGLE-LMC-CEP-0034,F,42:01.9,-70:38:49.0,13.751,14.673,0.922,11.2552749
OGLE-LMC-CEP-0035,F,42:06.3,-67:58:11.6,14.376,15.154,0.778,6.9435423
OGLE-LMC-CEP-0037,F,42:14.9,-68:26:10.6,15.512,16.294,0.782,3.06691
OGLE-LMC-CEP-0038,1,42:15.9,-69:13:01.4,14.977,15.654,0.677,2.7551416
OGLE-LMC-CEP-0039,F,42:38.0,-68:30:59.3,15.395,16.059,0.664,3.1477882
OGLE-LMC-CEP-0040,F,42:47.3,-69:49:00.5,14.67,15.413,0.743,5.1651068
OGLE-LMC-CEP-0041,F,42:53.7,-67:25:59.8,15.53,16.253,0.723,2.9106644
OGLE-LMC-CEP-0042,F,43:01.6,-70:10:01.6,15.667,16.36,0.693,2.5770257
OGLE-LMC-CEP-0043,1,43:03.8,-68:51:24.6,14.823,15.492,0.669,3.1488086
OGLE-LMC-CEP-0044,F,43:10.5,-67:14:00.9,14.925,15.522,0.597,4.0357552
OGLE-LMC-CEP-0045,F,43:10.7,-67:16:58.0,16.146,16.834,0.688,1.866928
OGLE-LMC-CEP-0046,F,43:20.9,-69:13:47.9,13.948,14.745,0.797,8.8436041
OGLE-LMC-CEP-0047,1,43:25.6,-69:53:49.4,15.273,15.904,0.631,2.0713571
OGLE-LMC-CEP-0048,F,43:31.5,-69:37:28.9,14.465,15.157,0.692,5.548214
OGLE-LMC-CEP-0049,F,43:35.6,-70:41:46.6,15.316,16.192,0.876,3.8491608
OGLE-LMC-CEP-0050,F,43:40.3,-69:34:14.2,14.195,15.021,0.826,7.8454429
OGLE-LMC-CEP-0051,1,43:44.2,-70:18:14.7,15.566,16.231,0.665,1.7544645
OGLE-LMC-CEP-0052,1,43:54.2,-68:49:14.9,15.118,15.755,0.637,2.385646
OGLE-LMC-CEP-0053,F,44:04.8,-69:50:29.1,15.685,16.412,0.727,2.6338747
OGLE-LMC-CEP-0054,1,44:06.1,-70:05:43.8,15.197,15.888,0.691,2.2765684
